time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
1928,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1929,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1930,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1931,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1932,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1933,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1934,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1935,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1936,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1939,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1940,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1941,-1e-05,-1e-05,1e-05,-3e-05,1e-05,-1e-05,-2e-05,-1e-05,1,32.0
1942,0.0,1e-05,-1e-05,-1e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1943,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1944,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1945,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1946,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1947,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1948,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1949,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1950,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1951,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1952,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1953,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1954,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1955,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1956,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1957,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1958,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1959,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1960,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1961,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1962,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1963,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1964,-1e-05,-1e-05,-4e-05,-4e-05,-3e-05,-2e-05,-1e-05,-2e-05,1,32.0
1965,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1966,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1967,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1968,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1969,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1970,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1971,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1972,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1973,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1974,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1975,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1976,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1977,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1978,0.0,-3e-05,0.0,-1e-05,6e-05,0.0,-1e-05,-1e-05,1,32.0
1979,0.0,-4e-05,-2e-05,-2e-05,-5e-05,-1e-05,0.0,1e-05,1,32.0
1980,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1981,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1982,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1983,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1984,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1985,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1986,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1988,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1989,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
1990,-1e-05,-1e-05,0.0,-3e-05,0.0,0.0,-1e-05,-2e-05,1,32.0
