time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
817,0.0,-2e-05,-2e-05,-3e-05,-2e-05,3e-05,2e-05,-2e-05,1,10.0
818,0.0,-2e-05,-2e-05,-3e-05,-2e-05,3e-05,2e-05,-2e-05,1,10.0
819,0.0,-2e-05,-2e-05,-3e-05,-2e-05,3e-05,2e-05,-2e-05,1,10.0
820,1e-05,1e-05,0.0,2e-05,-1e-05,1e-05,-1e-05,1e-05,1,10.0
821,0.0,-3e-05,-3e-05,-1e-05,-3e-05,-2e-05,1e-05,-1e-05,1,10.0
822,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
823,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
824,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
825,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
826,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
827,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
828,1e-05,3e-05,2e-05,1e-05,1e-05,-3e-05,2e-05,1e-05,1,10.0
829,1e-05,0.0,2e-05,-1e-05,0.0,0.0,0.0,-2e-05,1,10.0
830,1e-05,0.0,2e-05,-1e-05,0.0,0.0,0.0,-2e-05,1,10.0
831,1e-05,0.0,2e-05,-1e-05,0.0,0.0,0.0,-2e-05,1,10.0
832,1e-05,0.0,2e-05,-1e-05,0.0,0.0,0.0,-2e-05,1,10.0
833,1e-05,0.0,2e-05,-1e-05,0.0,0.0,0.0,-2e-05,1,10.0
834,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
835,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
836,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
839,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
840,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
841,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
842,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
843,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
844,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
845,-3e-05,2e-05,-1e-05,-2e-05,0.0,-1e-05,-1e-05,0.0,1,10.0
