time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
801,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
802,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
803,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
804,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
805,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
806,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
807,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
808,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
809,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
810,3e-05,-2e-05,-4e-05,0.0,-0.00012,-3e-05,-1e-05,-2e-05,1,36.0
811,1e-05,1e-05,-3e-05,-6e-05,-0.00011,-2e-05,-1e-05,-1e-05,1,36.0
812,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
813,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
814,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
815,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
816,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
817,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
818,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
819,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
820,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
821,4e-05,-1e-05,2e-05,0.00016,1e-05,2e-05,1e-05,0.0,1,36.0
