time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
2400,-1e-05,0.0,-1e-05,0.0,0.0,-1e-05,-1e-05,1e-05,1,15.0
2401,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2402,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2403,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2404,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2405,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2406,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2407,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2408,-1e-05,-2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,-2e-05,1,15.0
2409,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2410,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2411,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2412,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2413,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2414,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2415,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2416,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2417,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2418,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2419,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2420,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2421,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2422,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2423,-1e-05,0.0,1e-05,2e-05,1e-05,-1e-05,1e-05,0.0,1,15.0
2424,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2425,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2426,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2427,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2428,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2429,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2430,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2431,-1e-05,-1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2432,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2433,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2434,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2435,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2436,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2438,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2439,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2440,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2441,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2442,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2443,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2444,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2445,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2446,-2e-05,-2e-05,-2e-05,0.0,-2e-05,1e-05,-2e-05,-1e-05,1,15.0
2447,0.0,-1e-05,4e-05,-3e-05,-1e-05,-1e-05,-1e-05,0.0,1,15.0
2448,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2449,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2450,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2451,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2452,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2453,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2454,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2455,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2456,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2457,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2458,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2459,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2460,-2e-05,-6e-05,-2e-05,-2e-05,-1e-05,-1e-05,-2e-05,-1e-05,1,15.0
2461,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2462,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2463,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2464,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2465,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2466,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2467,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2468,-1e-05,-1e-05,-2e-05,0.0,1e-05,-1e-05,0.0,-1e-05,1,15.0
2469,-2e-05,-3e-05,-7e-05,-4e-05,-1e-05,-1e-05,-1e-05,1e-05,1,15.0
2470,-2e-05,-3e-05,-7e-05,-4e-05,-1e-05,-1e-05,-1e-05,1e-05,1,15.0
2471,-2e-05,-3e-05,-7e-05,-4e-05,-1e-05,-1e-05,-1e-05,1e-05,1,15.0
2472,-2e-05,-3e-05,-7e-05,-4e-05,-1e-05,-1e-05,-1e-05,1e-05,1,15.0
2473,-2e-05,-3e-05,-7e-05,-4e-05,-1e-05,-1e-05,-1e-05,1e-05,1,15.0
